title,rating,year,wins,nominations,news,reviews
Das Schloss im Himmel (1986),8.1,1986,1,0,132,152
Full Metal Jacket (1987),8.4,1987,7,7,621,621
Die Braut des Prinzen (1987),8.2,1987,5,8,958,662
Stirb langsam (1988),8.3,1988,6,2,2360,667
Die letzten Leuchtkäfer (1988),8.5,1988,3,0,156,436
Cinema Paradiso (1988),8.5,1988,19,22,215,357
Mein Nachbar Totoro (1988),8.3,1988,5,1,330,273
Indiana Jones und der letzte Kreuzzug (1989),8.3,1989,4,19,362,440
GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,1990,40,23,1504,883
Die Schöne und das Biest (1991),8.1,1991,21,19,3057,310
Das Schweigen der Lämmer (1991),8.6,1991,44,30,1076,798
Terminator 2 - Tag der Abrechnung (1991),8.5,1991,20,19,855,869
Reservoir Dogs - Wilde Hunde (1992),8.4,1992,11,9,1603,855
Erbarmungslos (1992),8.3,1992,40,20,568,453
...und täglich grüßt das Murmeltier (1993),8.1,1993,6,7,1237,542
Im Namen des Vaters (1993),8.2,1993,9,15,318,139
Schindlers Liste (1993),8.9,1993,70,25,857,1095
Forrest Gump (1994),8.8,1994,38,46,1908,1133
Der König der Löwen (1994),8.5,1994,25,22,2908,542
Léon - Der Profi (1994),8.6,1994,3,8,1194,754
Pulp Fiction (1994),9,1994,62,46,3824,1818
Die Verurteilten (1994),9.3,1994,15,15,1913,3046
Drei Farben - Rot (1994),8.1,1994,18,15,29,116
Before Sunrise - Zwischenstopp in Wien (1995),8.1,1995,1,2,763,351
Braveheart (1995),8.4,1995,19,20,975,1008
Casino (1995),8.2,1995,3,7,550,498
Hass (1995),8.1,1995,8,12,70,154
Heat (1995),8.3,1995,0,0,1030,841
Sieben (1995),8.7,1995,25,18,1953,977
Toy Story (1995),8.3,1995,19,13,5068,311
12 Monkeys (1995),8.1,1995,10,8,335,498
Underground (1995),8.2,1995,6,6,38,118
Die üblichen Verdächtigen (1995),8.7,1995,29,7,1212,1110
Fargo - Blutiger Schnee (1996),8.2,1996,60,32,815,752
Trainspotting - Neue Helden (1996),8.2,1996,19,15,1343,482
In the Mood for Love - Der Klang der Liebe (2000),8.1,2000,35,27,154,293
The Big Lebowski (1998),8.2,1998,1,9,1394,972
Das Leben ist schön (1997),8.6,1997,56,31,98,972
Good Will Hunting - Der gute Will Hunting (1997),8.2,1997,18,37,1462,611
L.A. Confidential (1997),8.3,1997,78,48,82,591
Prinzessin Mononoke (1997),8.5,1997,11,5,297,516
Die Truman Show (1998),8,1998,32,37,702,789
American History X (1998),8.6,1998,3,9,472,1344
The Green Mile (1999),8.5,1999,15,23,808,1290
Bube Dame König grAS (1998),8.2,1998,13,7,96,509
Der Herr der Ringe - Die Gefährten (2001),8.9,2001,82,90,801,4928
Der Soldat James Ryan (1998),8.6,1998,58,56,1841,2191
Matrix (1999),8.7,1999,29,36,1931,3470
Fight Club (1999),8.9,1999,5,13,2613,2676
Das Fest (1998),8.2,1998,28,16,151,249
Der Herr der Ringe - Die Rückkehr des Königs (2003),8.9,2003,122,74,1294,3049
Der Herr der Ringe - Die zwei Türme (2002),8.8,2002,76,83,527,2381
Sixth Sense (1999),8.2,1999,32,37,1500,2019
Lagaan: Once Upon a Time in India (2001),8.3,2001,44,19,9,228
American Beauty (1999),8.5,1999,91,74,2285,2648
Gladiator (2000),8.5,2000,51,80,2447,2277
Requiem for a Dream (2000),8.4,2000,27,36,918,1842
Die Monster AG (2001),8.1,2001,14,31,104,546
Snatch - Schweine und Diamanten (2000),8.4,2000,4,5,902,696
Memento (2000),8.6,2000,47,34,1748,1976
Die fabelhafte Welt der Amelie (2001),8.5,2001,54,50,359,1255
Chihiros Reise ins Zauberland (2001),8.6,2001,35,19,621,788
Amores perros (2000),8.2,2000,56,15,308,346
Donnie Darko (2001),8.1,2001,11,12,1329,2031
Der Pianist (2002),8.5,2002,49,47,700,718
Findet Nemo (2003),8.2,2003,37,37,2563,804
Kill Bill: Vol. 1 (2003),8.2,2003,16,43,3019,2044
A Beautiful Mind - Genie und Wahnsinn (2001),8.2,2001,28,51,1192,1123
City of God (2002),8.7,2002,57,26,528,681
Fluch der Karibik (2003),8.1,2003,28,71,429,2072
Vergiss mein nicht (2004),8.4,2004,46,54,1324,1448
Infernal Affairs - Die achte Hölle (2002),8.2,2002,23,20,358,171
Das wandelnde Schloss (2004),8.2,2004,9,14,153,298
Salinui chueok (2003),8.1,2003,14,2,181,107
Inglourious Basterds (2009),8.3,2009,76,63,7896,1391
Der Untergang (2004),8.3,2004,18,17,432,532
Oldboy (2003),8.4,2003,18,11,121,742
Swades: We\,http://www.imdb.com/title/tt0367110/,12600,video.movie,12,0,0
Batman Begins (2005),8.3,2005,9,44,6136,2607
Before Sunset (2004),8.1,2004,8,12,719,467
Hotel Ruanda (2004),8.2,2004,14,34,461,582
Schmetterling und Taucherglocke (2007),8.1,2007,56,41,337,167
Sin City (2005),8.2,2005,21,29,5239,1677
Das Leben der Anderen (2006),8.5,2006,66,25,402,371
Million Dollar Baby (2004),8.1,2004,58,34,1457,1068
Rang De Basanti (2006),8.6,2006,16,18,335,294
Departed - Unter Feinden (2006),8.5,2006,64,63,3043,1954
V wie Vendetta (2005),8.2,2005,4,17,1459,1980
Toy Story 3 (2010),8.5,2010,36,44,5842,657
Das Bourne Ultimatum (2007),8.1,2007,17,27,1639,790
Pans Labyrinth (2006),8.3,2006,76,63,81,1025
The Dark Knight (2008),9,2008,94,69,17229,3930
There Will Be Blood (2007),8.1,2007,74,58,2075,1053
No Country for Old Men (2007),8.2,2007,110,51,3101,1416
Prestige - Die Meister der Magie (2006),8.5,2006,4,17,796,1011
Into the Wild (2007),8.2,2007,18,43,880,683
Star Trek (2009),8.1,2009,19,47,15161,1499
Marvel's The Avengers (2012),8.2,2012,22,55,21466,1550
Drachenzähmen leicht gemacht (2010),8.2,2010,19,32,3545,414
WALL·E - Der letzte räumt die Erde auf (2008),8.5,2008,52,49,751,966
Black Swan (2010),8.1,2010,57,125,10527,1057
Mary & Max\,mary max oder schrumpfen schafe wenn es regnet,77311,2009,video.movie,6,15
Taare Zameen Par (2007),8.6,2007,13,15,325,261
The Wolf of Wall Street (2013),8.4,2013,17,62,3597,779
Slumdog Millionär (2008),8.1,2008,114,62,6741,972
Hachiko - Eine wunderbare Freundschaft (2009),8.2,2009,0,0,30,239
Oben (2009),8.3,2009,53,37,2379,644
Shutter Island (2010),8.1,2010,4,27,3907,884
Der Hobbit - Smaugs Einöde (2013),8.1,2013,3,40,3179,777
3 Idiots (2009),8.5,2009,20,13,10,267
Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),8.1,2011,33,49,2708,754
Gran Torino (2008),8.2,2008,20,8,1349,815
Ip Man (2008),8.1,2008,12,10,406,129
Die Frau die singt - Incendies (2010),8.2,2010,36,10,558,118
Warrior (2011),8.3,2011,2,10,1903,432
In ihren Augen (2009),8.3,2009,48,34,514,197
The Dark Knight Rises (2012),8.6,2012,28,64,22240,2576
Inception (2010),8.8,2010,83,110,10101,2450
Prisoners (2013),8.1,2013,6,15,1558,445
The Help (2011),8.1,2011,46,68,4565,391
Gravity (2013),8.1,2013,104,75,4911,1556
Lego (2014),8.3,2014,1,0,1651,225
The King's Speech (2010),8.1,2010,86,104,5060,592
Tropa de Elite 2 - O Inimigo Agora É Outro (2010),8.1,2010,23,11,111,59
Ziemlich beste Freunde (2011),8.6,2011,25,31,457,245
Her (2013),8.3,2013,42,58,2297,389
Nader und Simin - eine Trennung (2011),8.5,2011,60,23,39,230
Django Unchained (2012),8.5,2012,36,58,7971,1012
Rush - Alles für den Sieg (2013),8.3,2013,4,33,1573,352
12 Years a Slave (2013),8.3,2013,131,137,351,455
Die Jagd (2012),8.3,2012,29,37,220,163
Ein König in New York (1957),7.3,1957,0,0,8,45
Dinner um acht (1933),7.9,1933,0,0,15,83
The Miracle of Morgan's Creek (1944),8,1944,3,0,6,64
Der Rabe (1943),7.6,1943,0,0,14,41
Funny Games (1997),7.6,1997,4,5,148,281
Das Schreckenshaus des Dr. Rasanoff (1960),7.8,1960,0,0,121,113
Picknick am Valentinstag (1975),7.6,1975,3,11,137,189
Der eiskalte Engel (1967),8.2,1967,0,0,20,79
Wenn die Gondeln Trauer tragen (1973),7.4,1973,0,8,242,233
Napoleon vom Broadway (1934),7.9,1934,1,0,131,50
Augen der Angst (1960),7.8,1960,0,0,134,126
In der Hitze der Nacht (1967),8,1967,17,12,183,146
Videoclub (2013),4.9,2013,0,0,0,0
Mord im Orient Express (1974),7.3,1974,8,16,176,148
Buster Keaton - Dampfer-Willis Sohn (1928),8,1928,0,0,0,56
Blue Velvet (1986),7.8,1986,22,11,867,653
Tod auf dem Nil (1978),7.2,1978,4,5,41,92
Das Böse unter der Sonne (1982),7,1982,0,0,13,62
Haus der Spiele (1987),7.3,1987,6,2,29,103
Verdammnis (2009),7.1,2009,0,0,288,132
Copykill (1995),6.5,1995,2,1,29,122
Die purpurnen Flüsse (2000),6.9,2000,1,9,14,161
Mord - Sir John greift ein! (1930),6.4,1930,0,0,0,43
Mr. Deeds geht in die Stadt (1936),8,1936,5,5,20,104
The Palm Beach Story (1942),7.9,1942,0,0,15,85
Precious Images (1986),7.4,1986,2,1,0,9
Atlantic City\,http://www.imdb.com/title/tt0080388/,6240,video.movie,27,7,0
Der versteinerte Wald (1936),7.7,1936,0,0,30,86
Boys Don't Cry (1999),7.6,1999,47,27,509,423
Die Outsider (1983),7.2,1983,1,3,413,290
The Panic in Needle Park (1971),7.1,1971,1,1,24,57
Es tut sich was in Hollywood (1928),8.3,1928,1,0,12,28
Das Kind (2005),7.4,2005,12,12,32,78
William Shakespeares Romeo & Julia (1996),6.9,1996,13,20,14,482
Pépé le Moko - Im Dunkel von Algier (1937),7.7,1937,2,0,10,37
Das Leben nach dem Tod in Denver (1995),6.8,1995,2,0,15,136
Badlands (1973),7.9,1973,3,0,406,171
Goldhelm (1952),7.8,1952,1,1,2,25
When the Clouds Roll by (1919),7,1919,0,0,0,6
Destroy All Humans! (Video Game 2005),7.9,2005,0,0,2,5
Die schreckliche Wahrheit (1937),8,1937,1,5,77,94
Über den Dächern von Nizza (1955),7.5,1955,0,5,207,159
Laura (1944),8.2,1944,1,4,77,178
Mein Mann Godfrey (1936),8.2,1936,1,0,67,270
Marnie (1964),7.2,1964,0,0,207,179
Whose Line Is It Anyway? Episode #2.7 (TV Episode 1989),,1989,0,0,0,0
Manhandled (1924),8.3,1924,0,0,0,5
The 100 Greatest War Films (TV Movie 2005),5.3,2005,0,0,0,3
Zatôichi monogatari (1962),7.7,1962,0,0,8,18
Judo Saga - Die Legende vom großen Judo (1943),6.9,1943,0,0,2,23
Robin Hood (2010),6.7,2010,1,11,561,530
Hidalgo - 3000 Meilen zum Ruhm (2004),6.6,2004,1,2,160,337
Apocalypto (2006),7.8,2006,7,14,404,1022
Die Höllenfahrt der Poseidon (1972),7.1,1972,4,13,231,231
Zatôichi to Yôjinbô (1970),7.2,1970,0,0,4,13
Die 36 Kammern der Shaolin (1978),7.8,1978,0,0,36,61
Fleisch & Blut (1985),6.7,1985,2,1,0,99
Yagyû ichizoku no inbô (1978),7.3,1978,0,0,0,12
Die Kanonen von Navarone (1961),7.6,1961,4,10,81,122
Das Schloß im Spinnwebwald (1957),8.2,1957,3,1,98,96
Smashing UK Top 10 Top 10 International Films (TV Episode 2013),,2013,0,0,0,0
Zwei Waisen im Sturm (1921),8.1,1921,0,0,2,31
Queen Kelly (1929),8,1929,1,0,8,17
Coquette (1929),7.4,1929,0,0,16,30
...aber das Fleisch ist schwach (1928),8.1,1928,0,0,6,15
Der Überfall auf die Virginiapost (1921),8.2,1921,2,0,0,15
Ein Stern geht auf (1937),7.7,1937,2,7,14,41
The Last Flight (1931),7.9,1931,0,0,0,22
Viridiana (1961),8.2,1961,1,0,18,48
Das verlorene Wochenende (1945),8.1,1945,11,3,85,126
Der schöne Karl (1932),8.1,1932,0,0,0,15
The Magic of Fellini (TV Movie 2002),6.1,2002,0,0,0,4
Goldenes Gift (1947),8.1,1947,1,0,68,137
Ein Mädel mit Tempo (1928),8.2,1928,0,0,0,18
Todsünde (1945),7.8,1945,0,3,28,112
Niagara (1953),7.1,1953,0,0,29,98
Du lebst noch 105 Minuten (1948),7.5,1948,0,2,0,78
Act of Violence (1948),7.5,1948,0,0,13,46
Gefahr in Frisco (1949),7.8,1949,0,0,0,36
An einem Tag wie jeder andere (1955),7.6,1955,3,0,10,55
Das unheimliche Fenster (1949),7.5,1949,1,2,0,49
Hemmungslose Liebe (1947),7.2,1947,0,0,17,59
Dein Schicksal in meiner Hand (1957),8.2,1957,2,2,170,104
Gilda (1946),7.8,1946,1,0,61,134
Hannah und ihre Schwestern (1986),8,1986,26,20,369,156
Siskel & Ebert & the Movies Men in Black/Wild America/Out to Sea (TV Episode 1997),,1997,0,0,0,0
Der Tiger von New York (1955),6.8,1955,1,0,25,92
Sabrina (1954),7.8,1954,6,7,2,133
Im Schatten des Zweifels (1943),8,1943,1,2,209,211
Ich beichte (1953),7.3,1953,0,0,22,90
Die Narbenhand (1942),7.6,1942,0,0,11,64
Unter Geheimbefehl (1950),7.3,1950,2,3,29,69
Rififi (1955),8.2,1955,5,1,35,94
Die Ratte von Soho (1950),8,1950,0,0,23,68
Gangster in Key Largo (1948),7.9,1948,0,1,58,134
Verbrechen und andere Kleinigkeiten (1989),8.1,1989,13,17,123,151
Denen ist nichts heilig (1937),7.6,1937,0,0,19,62
His Girl Friday - Sein Mädchen für besondere Fälle (1940),8.1,1940,1,0,155,208
Who Do You Think You're Fooling? (1994),5.3,1994,0,0,0,6
Glaubensfrage (2008),7.5,2008,19,44,1192,302
Das weiße Band - Eine deutsche Kindergeschichte (2009),7.8,2009,50,25,993,177
Alles über Elly (2009),8.2,2009,13,8,15,29
Das Zimmer meines Sohnes (2001),7.4,2001,11,25,33,82
Frühstück bei Tiffany (1961),7.8,1961,13,8,410,315
Spider (2002),6.9,2002,12,22,172,205
Shock Corridor (1963),7.6,1963,2,0,84,51
Die mit der Liebe spielen (1960),7.9,1960,5,6,48,87
So viele Jahre liebe ich dich (2008),7.6,2008,14,19,145,113
Eva mit 3 Gesichtern (1957),7.3,1957,2,1,22,45
The Phantom of Paris (1931),7.6,1931,0,0,0,10
Manhattan (1979),8,1979,19,14,35,216
Anatomie eines Mordes (1959),8.1,1959,9,11,129,176
The Bachelor Father (1931),7.8,1931,0,0,0,10
Eiskalt in Alexandrien (1958),7.9,1958,1,1,25,48
Destroyer (1943),6.7,1943,0,0,0,15
Agenten sterben einsam (1968),7.7,1968,1,2,142,212
African Queen (1951),8,1951,4,6,152,189
Master & Commander - Bis ans Ende der Welt (2003),7.4,2003,22,57,312,671
Die Verdammten des Krieges (1989),7,1989,3,1,46,116
Gallipoli (1981),7.6,1981,11,5,86,108
Die vier Federn (2002),6.5,2002,0,0,101,210
Colonel von Ryans Expreß (1965),7.1,1965,2,1,6,63
Parks and Recreation Eagleton (TV Episode 2011),8.3,2011,0,0,0,0
Die Fälscher (2007),7.6,2007,6,9,151,116
Der Stellvertreter (2002),7.3,2002,4,8,5,49
Die 120 Tage von Sodom (1975),6,1975,0,0,26,343
Die Jungfrauenquelle (1960),8.1,1960,4,2,15,72
Wie klaut man eine Million? (1966),7.6,1966,0,0,30,81
... A Father... A Son... Once Upon a Time in Hollywood (TV Movie 2005),7.7,2005,0,0,0,1
Angst und Schrecken in Las Vegas (1998),7.8,1998,1,1,667,624
Akira Kurosawa's Träume (1990),7.8,1990,3,8,55,107
The Tree of Life (2011),6.7,2011,61,50,3908,932
Interview mit einem Vampir - Aus der Chronik der Vampire (1994),7.6,1994,19,18,606,383
Tod in Venedig (1971),7.6,1971,18,6,61,100
Das Blut eines Dichters (1932),7.5,1932,1,0,10,28
Die Handschrift von Saragossa (1965),8,1965,1,0,0,34
Fellinis Satyricon (1969),6.9,1969,7,6,5,88
Hereafter - Das Leben danach (2010),6.5,2010,4,11,1173,310
Von Angesicht zu Angesicht (1976),7.7,1976,8,2,21,18
Mission Hill Plan 9 from Mission Hill (or I Married a Gay Man from Outer Space) (TV Episode 2002),7.4,2002,0,0,0,0
Das Schweigen (1963),8,1963,3,1,15,38
Herbstsonate (1978),8.2,1978,13,2,40,54
Schande (1968),7.9,1968,10,0,24,46
Licht im Winter (1963),8,1963,1,0,0,54
Paris\,http://www.imdb.com/title/tt0087884/,8820,video.movie,16,22,0
Opfer (1986),8.1,1986,8,1,3,56
Die Nacht (1961),7.9,1961,6,1,42,35
Harakiri (1962),8.6,1962,8,2,47,140
Die Reise nach Tokio (1953),8.3,1953,2,0,169,100
Der Konformist (1970),8.1,1970,11,2,81,84
Belle de Jour - Schöne des Tages (1967),7.8,1967,5,0,81,97
Big Fish - Der Zauber\,http://www.imdb.com/title/tt0319061/,7500,video.movie,0,73,500
Zwielicht (1996),7.7,1996,10,6,133,220
Gone Baby gone - Kein Kinderspiel (2007),7.7,2007,23,12,1266,427
Der Name der Rose (1986),7.8,1986,13,5,76,140
Eine Frage der Ehre (1992),7.6,1992,9,15,412,299
Verblendung (2009),7.8,2009,12,22,2708,282
Following (1998),7.6,1998,5,4,577,144
Michael Clayton (2007),7.3,2007,19,60,798,352
Insomnia - Schlaflos (2002),7.2,2002,1,8,403,620
Mississippi Burning - Die Wurzel des Hasses (1988),7.8,1988,18,19,90,157
Exit (1985),6.6,1985,1,4,0,0
Remington Steele In the Steele of the Night (TV Episode 1982),7.9,1982,0,0,0,0
Zelle R 17 (1947),7.7,1947,0,0,18,55
Nachts unterwegs (1940),7.3,1940,0,0,5,56
Mrs. Doubtfire - Das stachelige Kindermädchen (1993),6.8,1993,9,6,363,204
Lili Marlene (2007),,2007,0,0,0,0
Lola rennt (1998),7.8,1998,28,15,492,691
True Romance (1993),8,1993,1,6,921,424
La leggenda di Al\,http://www.imdb.com/title/tt0345561/,6300,video.movie,0,0,0
Die zehn Gebote (1956),7.9,1956,5,7,281,207
Meuterei auf der Bounty (1962),7.2,1962,2,6,30,79
Hatari (1962),7.3,1962,1,0,0,71
Der Mann in der eisernen Maske (1998),6.4,1998,3,2,70,232
Monte Cristo (2002),7.7,2002,0,0,247,528
Spartacus (1960),8,1960,6,9,415,256
Die vier Halunken der Königin (1974),7.1,1974,1,1,33,25
Agora - Die Säulen des Himmels (2009),7.2,2009,9,12,235,163
Zulu (1964),7.8,1964,0,0,58,224
Tora! Tora! Tora! (1970),7.5,1970,1,7,3,146
Tristan + Isolde (2006),6.9,2006,0,0,53,310
Erpressung (1929),7.1,1929,0,0,58,74
Tombstone (1993),7.9,1993,0,0,294,423
Blutmond (1986),7.2,1986,1,1,343,422
Magic Christian (1969),6.2,1969,0,0,14,80
Der Mann\,http://www.imdb.com/title/tt0049470/,7200,video.movie,1,70,170
Lucky Number Slevin (2006),7.8,2006,4,3,279,492
Die drei Tage des Condor (1975),7.5,1975,5,3,219,138
The Illusionist - Nichts ist wie es scheint (2006),7.6,2006,6,8,587,624
Der ewige Gärtner (2005),7.5,2005,23,45,617,557
Beruf: Reporter (1975),7.7,1975,4,1,62,100
Schatten der Vergangenheit (1991),7,1991,1,4,48,103
Children of Men (2006),7.9,2006,28,29,1636,1154
Sehnsüchtig (2004),7,2004,0,0,85,284
Öffne die Augen (1997),7.8,1997,5,11,156,210
So finster die Nacht (2008),8,2008,63,23,2484,469
Jung und unschuldig (1937),7.1,1937,0,0,13,76
Roter Drache (2002),7.2,2002,6,7,655,736
Deckname Sweeny (1977),6.8,1977,1,0,0,15
Die Vergessenen (1950),8.1,1950,12,4,17,136
Der Kameramann (1928),8.3,1928,1,0,11,44
Topas (1969),6.3,1969,3,1,49,79
Rocco und seine Brüder (1960),8.3,1960,9,7,37,38
Ein Prophet (2009),7.9,2009,32,31,831,139
Die Außenseiterbande (1964),7.9,1964,0,0,95,54
Zum Beispiel Balthasar (1966),7.9,1966,4,0,47,63
Hexenkessel (1973),7.5,1973,5,2,402,208
Die neun Königinnen (2000),7.9,2000,22,8,29,120
Yihe yuan (2006),7,2006,0,0,68,26
Midnight in Paris (2011),7.7,2011,18,52,3729,460
Eins\,eins zwei drei,11935,1961,video.movie,5,28
Silver Linings (2012),7.9,2012,62,78,6070,620
Blue Jasmine (2013),7.4,2013,26,35,2322,286
Frühling für Hitler (1967),7.7,1967,2,5,194,230
Der Partyschreck (1968),7.6,1968,0,0,38,150
Die wunderbare Welt der Schwerkraft (1971),7.6,1971,0,0,55,77
Monty Python Live at the Hollywood Bowl (1982),7.9,1982,0,0,0,22
Sterben für Anfänger (2007),7.4,2007,2,0,455,190
Best in Show (2000),7.5,2000,13,10,566,332
Mein Onkel (1958),7.9,1958,6,2,52,54
Ronde de nuit (1984),4.5,1984,0,0,0,1
